Wavelength,Excitation,Emission
300,14.7987879878788,0
301,15.1763637636364,0
302,15.5184416844156,0
303,15.8250217502164,0
304,16.0961039610389,0
305,16.3428570779221,0
306,16.5480517532467,0
307,16.7099564761905,0
308,16.8004326709956,0
309,16.8311686017316,0
310,16.7675323246753,0
311,16.6233763679653,0
312,16.3658006320346,0
313,15.9861469264069,0
314,15.4818180909091,0
315,14.8896107099567,0
316,14.2285718311688,0
317,13.5242429134199,0
318,12.7952385935065,0
319,12.0627709593073,0
320,11.3372296406926,0
321,10.5956709662338,0
322,9.87272713376622,0
323,9.17619048787878,0
324,8.55367966623375,0
325,7.97965367142856,0
326,7.52640682987012,0
327,7.19350636666666,0
328,6.96969694112553,0
329,6.83766237445886,0
330,6.80259742034631,0
331,6.83463215887445,0
332,6.90173179090908,0
333,6.97402612683982,0
334,7.06580087619047,0
335,7.14458863679653,0
336,7.17792197316016,0
337,7.19956699264068,0
338,7.1809522095238,0
339,7.13073584372293,0
340,7.03766242683982,0
341,6.94155858008657,0
342,6.83809542251081,0
343,6.70735946883116,0
344,6.54718629999999,0
345,6.36406944329004,0
346,6.13549793766233,0
347,5.89480532943722,0
348,5.63722957575757,0
349,5.40000004545454,0
350,5.16277058831168,0
351,4.91428569740259,0
352,4.66753236580086,0
353,4.43116873030302,0
354,4.21861463766233,0
355,4.0341991056277,0
356,3.84458872987012,0
357,3.67402599567099,0
358,3.50476196147186,0
359,3.34805199610389,0
360,3.19264069740259,0
361,3.09393935974026,0
362,2.99870124025974,0
363,2.92034625714285,0
364,2.83030297748917,0
365,2.75757579220779,0
366,2.68441565974026,0
367,2.62640701861471,0
368,2.56147194242424,0
369,2.52943726666666,0
370,2.47056278441558,0
371,2.42943722640692,0
372,2.37056276147186,0
373,2.32034632034632,0
374,2.27662337662337,0
375,2.23722943722943,0
376,2.2,0
377,2.16277056277056,0
378,2.11428571428571,0
379,2.08571429480519,0
380,2.03722944025974,0
381,1.99999998614718,0
382,1.96277052554112,0
383,1.92337654242424,0
384,1.87965358744588,0
385,1.82034624502164,0
386,1.77662334199134,0
387,1.73722946277056,0
388,1.69090916320346,0
389,1.65974036580086,0
390,1.62813864632034,0
391,1.62294383203463,0
392,1.6000001030303,0
393,1.57705636320346,0
394,1.57186153463203,0
395,1.54025977748918,0
396,1.50000001385281,0
397,1.45974025670995,0
398,1.41904760995671,0
399,1.41082251082251,0
400,1.41082251082251,0
401,1.42813852813853,0
402,1.46277056277056,0
403,1.48614718614718,0
404,1.5030303030303,0
405,1.49999999090909,0
406,1.49696969393939,0
407,1.51385282770563,0
408,1.52813856536796,0
409,1.55064943160173,0
410,1.59696978917749,0
411,1.64502172034632,0
412,1.69696972251082,0
413,1.75064932207792,0
414,1.83722937878788,0
415,1.90779213896104,0
416,1.98008652467532,0
417,2.06753245367965,0
418,2.15627705021645,0
419,2.27056279480519,0
420,2.40173162164502,0
421,2.55627705670995,0
422,2.73636362164502,0
423,2.91125538571428,0
424,3.10779216666666,0
425,3.29696967792207,0
426,3.48787876666666,0
427,3.70476193246753,0
428,3.93419914242424,0
429,4.16753241645021,0
430,4.41125534718614,0
431,4.66753241731601,0
432,4.94328997619047,0
433,5.1987012090909,0
434,5.4800865108225,0
435,5.75844155757575,0
436,6.07142862121211,0
437,6.38138536017315,0
438,6.70822525800865,0
439,7.05844176103895,0
440,7.43419932987012,0
441,7.79567121948051,0
442,8.18484872510821,0
443,8.58355000519479,0
444,9.0268400125541,0
445,9.49437240692639,0
446,10.0147186588744,0
447,10.585281365368,0
448,11.1965368450216,0
449,11.8792207277056,0
450,12.6333331645021,0
451,13.4476189047619,0
452,14.3510819350649,0
453,15.2995667878788,0
454,16.3086575454545,0
455,17.363202978355,0
456,18.445887069264,0
457,19.6034627792208,0
