Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,4.858140922,0
401,4.754196132,0
402,4.653659368,0
403,4.549714578,0
404,4.461105904,0
405,4.384425322,0
406,4.311152765,0
407,4.248104286,0
408,4.207207975,0
409,4.15267956,0
410,4.116895288,0
411,4.081111016,0
412,4.077702991,0
413,4.033398654,0
414,4.043622732,0
415,4.006134447,0
416,3.980574252,0
417,3.973758201,0
418,3.973758201,0
419,3.970350175,0
420,3.953310045,0
421,3.922637812,0
422,3.873221436,0
423,3.885149527,0
424,3.873221436,0
425,3.832325126,0
426,3.805060918,0
427,3.764164608,0
428,3.776092698,0
429,3.759052569,0
430,3.680667973,0
431,3.663627844,0
432,3.665331857,0
433,3.644883701,0
434,3.636363636,0
435,3.607395416,0
436,3.573315157,0
437,3.554571015,0
438,3.520490756,0
439,3.566499105,0
440,3.520490756,0
441,3.530714833,0
442,3.505154639,0
443,3.537530885,0
444,3.513674704,0
445,3.498338587,0
446,3.513674704,0
447,3.448922212,0
448,3.448922212,0
449,3.41313794,0
450,3.375649655,0
451,3.316009202,0
452,3.264888813,0
453,3.167760075,0
454,3.085967453,0
455,3.014398909,0
456,2.936014314,0
457,2.857629718,0
458,2.758796967,0
459,2.678708358,0
460,2.574763568,0
461,2.486154895,0
462,2.395842208,0
463,2.303825509,0
464,2.228848939,0
465,2.131720201,0
466,2.089119877,0
467,2.002215217,0
468,1.939166738,0
469,1.867598194,0
470,1.833517935,0
471,1.751725313,0
472,1.739797222,0
473,1.66311664,0
474,1.661412627,0
475,1.594956122,0
476,1.569225526,0
477,1.562409474,0
478,1.511289086,0
479,1.516571526,0
480,1.465451137,0
481,1.43818693,0
482,1.431200477,0
483,1.407514697,0
484,1.373264037,0
485,1.361506347,0
486,1.318906024,0
487,1.329130101,0
488,1.337479765,0
489,1.279713726,0
490,1.267785635,0
491,1.279713726,0
492,1.226889324,0
493,1.208145182,0
494,1.220073273,0
495,1.206441169,0
496,1.17236091,0
497,1.160432819,0
498,1.134872625,0
499,1.138280651,0
500,1.102496379,0
501,1.11442447,0
502,1.092272301,0
503,1.076936185,0
504,1.078640198,0
505,1.044559939,0
506,1.059896055,0
507,1.053080003,0
508,1.059896055,0
509,1.06841612,0
510,1.044559939,0
511,1.0394479,0
512,1.017295731,0
513,1.02240777,0
514,1.027519809,0
515,1.030927835,0
