Wavelength,Excitation,Emission
300,6.678,0
301,6.162,0
302,5.691,0
303,5.228,0
304,4.795,0
305,4.405,0
306,4.059,0
307,3.758,0
308,3.485,0
309,3.246,0
310,3.015,0
311,2.815,0
312,2.63,0
313,2.481,0
314,2.324,0
315,2.209,0
316,2.107,0
317,2.009,0
318,1.94,0
319,1.868,0
320,1.818,0
321,1.785,0
322,1.719,0
323,1.65,0
324,1.598,0
325,1.57,0
326,1.545,0
327,1.498,0
328,1.446,0
329,1.419,0
330,1.405,0
331,1.369,0
332,1.332,0
333,1.313,0
334,1.304,0
335,1.259,0
336,1.179,0
337,1.165,0
338,1.191,0
339,1.16,0
340,1.141,0
341,1.101,0
342,1.117,0
343,1.096,0
344,1.058,0
345,1.026,0
346,1.006,0
347,0.954,0
348,0.901,0
349,0.836,0
350,0.807,0
351,0.767,0
352,0.715,0
353,0.663,0
354,0.621,0
355,0.577,0
356,0.517,0
357,0.491,0
358,0.476,0
359,0.453,0
360,0.442,0
361,0.426,0
362,0.395,0
363,0.394,0
364,0.373,0
365,0.358,0
366,0.351,0
367,0.339,0
368,0.312,0
369,0.296,0
370,0.302,0
371,0.314,0
372,0.293,0
373,0.231,0
374,0.215,0
375,0.22,0
376,0.216,0
377,0.162,0
378,0.13,0
379,0.197,0
380,0.225,0
381,0.102,0
382,0.076,0
383,0.156,0
384,0.196,0
385,0.211,0
386,0.211,0
387,0.185,0
388,0.193,0
389,0.205,0
390,0.195,0
391,0.171,0
392,0.18,0
393,0.19,0
394,0.193,0
395,0.171,0
396,0.166,0
397,0.181,0
398,0.177,0
399,0.153,0
400,0.153,0
401,0.165,0
402,0.159,0
403,0.147,0
404,0.152,0
405,0.168,0
406,0.163,0
407,0.157,0
408,0.171,0
409,0.187,0
410,0.178,0
411,0.166,0
412,0.171,0
413,0.199,0
414,0.21,0
415,0.208,0
416,0.209,0
417,0.225,0
418,0.228,0
419,0.221,0
420,0.257,0
421,0.279,0
422,0.274,0
423,0.291,0
424,0.316,0
425,0.327,0
426,0.35,0
427,0.368,0
428,0.404,0
429,0.425,0
430,0.424,0
431,0.451,0
432,0.504,0
433,0.534,0
434,0.539,0
435,0.573,0
436,0.638,0
437,0.687,0
438,0.706,0
439,0.748,0
440,0.812,0
441,0.868,0
442,0.922,0
443,0.982,0
444,1.065,0
445,1.147,0
446,1.207,0
447,1.286,0
448,1.397,0
449,1.486,0
450,1.574,0
451,1.681,0
452,1.792,0
453,1.898,0
454,2.008,0
455,2.143,0
456,2.281,0
457,2.433,0
458,2.569,0
459,2.709,0
460,2.887,0
461,3.023,0
462,3.17,0
463,3.354,0
464,3.549,0
465,3.746,0
466,3.953,0
467,4.19,0
468,4.463,0
469,4.716,0
470,5.013,0
471,5.326,0
472,5.68,0
473,6.045,0
474,6.449,0
475,6.866,0
476,7.32,0
477,7.792,0
478,8.271,0
479,8.775,0
480,9.293,0
481,9.812,0
482,10.336,0
483,10.864,0
484,11.406,0
485,11.941,0
486,12.448,0
487,12.95,0
488,13.435,0
489,13.903,0
490,14.368,0
491,14.84,0
492,15.337,0
493,15.819,0
494,16.332,0
495,16.873,0
496,17.472,0
497,18.103,0
498,18.806,0
499,19.568,0
500,20.419,0
501,21.365,0
502,22.384,0
503,23.515,0
504,24.74,0
505,26.054,0
506,27.476,0
507,28.964,0
508,30.546,0
509,32.195,0
510,33.906,0
511,35.691,0
512,37.524,0
513,39.343,0
514,41.137,0
515,42.866,0
516,44.501,0
517,45.925,0
518,47.19,0
519,48.274,0
520,49.154,0.191
521,49.746,0.188
522,50.119,0.195
523,50.269,0.218
524,50.225,0.264
525,50.003,0.283
526,49.686,0.314
527,49.31,0.345
528,48.913,0.372
529,48.553,0.443
530,48.284,0.506
531,48.16,0.61
532,48.181,0.653
533,48.437,0.801
534,48.897,0.854
535,49.561,1.111
536,50.435,1.306
537,51.527,1.463
538,52.814,1.734
539,54.33,2.007
540,56.051,2.528
541,58.007,2.865
542,60.219,3.385
543,62.643,4.18
544,65.321,5.036
545,68.193,6.474
546,71.253,7.413
547,74.525,8.804
548,78.009,10.542
549,81.563,13.03
550,85.146,15.666
551,88.696,18.433
552,92.057,21.086
553,94.961,24.938
554,97.364,29.798
555,99.085,34.278
556,100,39.474
557,99.853,44.775
558,98.678,51.502
559,96.433,56.228
560,93.334,62.997
561,89.153,69.024
562,84.332,75.686
563,78.881,80.295
564,73.075,85.454
565,66.911,89.503
566,60.753,92.98
567,54.642,95.933
568,48.685,98.561
569,43.03,100
570,37.724,94.473
571,32.835,95.338
572,28.386,95.043
573,24.479,94.413
574,21.003,92.191
575,17.908,90.439
576,15.203,87.245
577,12.922,84.66
578,10.915,81.579
579,9.165,78.888
580,7.673,75.994
581,6.481,72.216
582,5.448,68.526
583,4.553,66.007
584,3.796,62.913
585,3.236,60.294
