Wavelength,Excitation,Emission
720,0.47,23.95
721,0.44,22.92
722,0.37,21.69
723,0.32,20.33
724,0.27,19.37
725,0.2,18.48
726,0.12,17.85
727,0.1,17.11
728,0.05,16.2
729,0.02,15.7
730,0,15.15
731,0,14.67
732,0,14.42
733,0,13.99
734,0,13.56
735,0,13.23
736,0,13.03
737,0,12.81
738,0,12.35
739,0,12.18
740,0,12.05
741,0,11.87
742,0,11.82
743,0,11.73
744,0,11.43
745,0,11.33
746,0,11.38
747,0,11.27
748,0,11.2
749,0,10.79
750,0,10.7
751,0,10.48
752,0,10.36
753,0,10.34
754,0,10.26
755,0,10.24
756,0,10.08
757,0,10.01
758,0,9.64
759,0,9.34
760,0,9.06
761,0,9
762,0,8.78
763,0,8.47
764,0,8.23
765,0,8.03
766,0,7.78
767,0,7.48
768,0,7.39
769,0,7.11
770,0,6.95
771,0,6.69
772,0,6.51
773,0,6.37
774,0,6.17
775,0,5.92
776,0,5.84
777,0,5.57
778,0,5.34
779,0,5.15
780,0,5.03
781,0,4.83
782,0,4.63
783,0,4.54
784,0,4.45
785,0,4.31
786,0,4.17
787,0,4.06
788,0,3.9
789,0,3.8
790,0,3.71
791,0,3.72
792,0,3.46
793,0,3.44
794,0,3.37
795,0,3.21
796,0,3.21
797,0,3.12
798,0,3.1
799,0,3.04
800,0,2.97
801,0,2.89
802,0,2.76
803,0,2.76
804,0,2.69
805,0,2.6
806,0,2.41
807,0,2.36
808,0,2.3
809,0,2.23
810,0,2.12
811,0,2.05
812,0,1.97
813,0,1.93
814,0,1.85
815,0,1.73
816,0,1.75
817,0,1.72
818,0,1.64
819,0,1.57
820,0,1.52
821,0,1.46
822,0,1.37
823,0,1.35
824,0,1.27
825,0,1.17
826,0,1.12
827,0,1.09
828,0,1.04
829,0,1.01
830,0,0.91
831,0,0.89
832,0,0.84
833,0,0.83
834,0,0.8
835,0,0.75
836,0,0.72
837,0,0.69
838,0,0.63
839,0,0.61
840,0,0.54
841,0,0.55
842,0,0.54
843,0,0.52
844,0,0.48
845,0,0.45
846,0,0.43
847,0,0.39
848,0,0.37
849,0,0.36
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
