Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,2.133978,0
401,2.162486,0
402,2.209465,0
403,2.251294,0
404,2.269056,0
405,2.291258,0
406,2.306355,0
407,2.324916,0
408,2.338238,0
409,2.338238,0
410,2.365768,0
411,2.375626,0
412,2.390723,0
413,2.411061,0
414,2.431575,0
415,2.467099,0
416,2.503421,0
417,2.515943,0
418,2.556795,0
419,2.617185,0
420,2.626954,0
421,2.660701,0
422,2.688232,0
423,2.690896,0
424,2.704128,0
425,2.65262,0
426,2.642051,0
427,2.566475,0
428,2.526512,0
429,2.425359,0
430,2.342767,0
431,2.225451,0
432,2.115328,0
433,2.001653,0
434,1.879098,0
435,1.743221,0
436,1.641091,0
437,1.508856,0
438,1.40042,0
439,1.28941,0
440,1.194474,0
441,1.082575,0
442,1.040746,0
443,0.9173024,0
444,0.8755625,0
445,0.8321351,0
446,0.7814255,0
447,0.7263643,0
448,0.6980344,0
449,0.6828482,0
450,0.63054,0
451,0.619883,0
452,0.5807185,0
453,0.5497243,0
454,0.5497243,0
455,0.5460832,0
456,0.5141121,0
457,0.5106485,0
458,0.4902226,0
459,0.4795656,0
460,0.4573635,0
461,0.452035,0
462,0.4377368,0
463,0.4458184,0
464,0.4076308,0
465,0.4085189,0
466,0.3942207,0
467,0.3818763,0
468,0.3515927,0
469,0.3552338,0
470,0.3348078,0
471,0.3126057,0
472,0.2912917,0
473,0.282322,0
474,0.2531041,0
475,0.2627842,0
476,0.2255735,0
477,0.2219323,0
478,0.2122522,0
479,0.2042594,0
480,0.1740646,0
481,0.1776169,0
482,0.1563029,0
483,0.1571021,0
484,0.1332127,0
485,0.1366762,0
486,0.1305484,0
487,0.1180264,0
488,0.0968,0
489,0.1021297,0
490,0.0976,0
491,0.1038171,0
492,0.104794,0
493,0.0976,0
494,0.0949,0
495,0.1002647,0
496,0.1180264,0
497,0.1206907,0
498,0.1252199,0
499,0.1225557,0
500,0.1215788,0
501,0.1305484,0
502,0.1464451,0
503,0.1473332,0
504,0.1793931,0
505,0.1740646,0
506,0.1909382,0
507,0.2015952,0
508,0.2379178,0
509,0.2371186,0
510,0.2637611,0
511,0.2584326,0
512,0.2859632,0
513,0.2886275,0
514,0.325927,0
515,0.3374721,0
516,0.3729067,0
517,0.3650027,0
518,0.3995492,0
519,0.4066539,0
520,0.4546105,0
