Wavelength,Excitation,Emission
300,11.90545,0
301,10.78655,0
302,9.732767,0
303,9.047953,0
304,8.523434,0
305,8.096132,0
306,7.831386,0
307,7.702743,0
308,7.682395,0
309,7.645995,0
310,7.797698,0
311,7.820081,0
312,8.048428,0
313,8.288304,0
314,8.462165,0
315,8.722389,0
316,8.973119,0
317,9.264996,0
318,9.479777,0
319,9.721688,0
320,9.983948,0
321,10.12616,0
322,10.37711,0
323,10.33868,0
324,10.50372,0
325,10.61224,0
326,10.6916,0
327,10.67554,0
328,10.84285,0
329,10.7705,0
330,10.90615,0
331,11.03751,0
332,11.15485,0
333,11.31989,0
334,11.34725,0
335,11.32238,0
336,11.23172,0
337,11.02846,0
338,10.68029,0
339,10.27311,0
340,9.789289,0
341,9.330334,0
342,8.826163,0
343,8.387556,0
344,7.903959,0
345,7.569126,0
346,7.24831,0
347,7.062694,0
348,6.741878,0
349,6.621826,0
350,6.456784,0
351,6.411566,0
352,6.26235,0
353,6.255567,0
354,6.117881,0
355,6.097308,0
356,6.011621,0
357,5.988786,0
358,5.859917,0
359,5.891795,0
360,5.853361,0
361,5.729013,0
362,5.658927,0
363,5.640614,0
364,5.554701,0
365,5.570527,0
366,5.541136,0
367,5.457711,0
368,5.378581,0
369,5.423572,0
370,5.382876,0
371,5.439398,0
372,5.369311,0
373,5.346703,0
374,5.342407,0
375,5.333364,0
376,5.27006,0
377,5.168095,0
378,5.05053,0
379,5.005539,0
380,4.833488,0
381,4.745315,0
382,4.578237,0
383,4.379282,0
384,4.291108,0
385,4.186882,0
386,4.013023,0
387,3.857023,0
388,3.682711,0
389,3.599286,0
390,3.449843,0
391,3.384278,0
392,3.257896,0
393,3.153671,0
394,2.997897,0
395,2.986367,0
396,2.805498,0
397,2.807759,0
398,2.717551,0
399,2.654021,0
400,2.586195,0
401,2.583934,0
402,2.518595,0
403,2.475639,0
404,2.387466,0
405,2.310371,0
406,2.240284,0
407,2.181728,0
408,2.082024,0
409,2.073207,0
410,2.009902,0
411,1.971468,0
412,1.903416,0
413,1.849156,0
414,1.785852,0
415,1.781556,0
416,1.679817,0
417,1.722548,0
418,1.645904,0
419,1.688861,0
420,1.58034,0
421,1.593905,0
422,1.562027,0
423,1.528114,0
424,1.58034,0
425,1.500983,0
426,1.573331,0
427,1.526079,0
428,1.528114,0
429,1.523818,0
430,1.555244,0
431,1.510253,0
432,1.645904,0
433,1.532636,0
434,1.589157,0
